Wiederaufnahme der Sitzungsperiode ;81 5 1642;Resumption of the session ;8645 12 4 1607;Resumption of session ;8645 12 1607;0.17638398115429918;1;1
Im übrigen wird es nun wirklich langsam Zeit , die Programme umzusetzen , und insofern müssen auch die Mitgliedstaaten ihrer Verantwortung nachkommen und ihre Hausaufgaben machen . ;1163 1043 139 27 349 1921 3202 291 14 16 1342 4982 14 20 6937 317 188 16 193 93 2816 1247 20 807 11127 397 25;The time has come to implement the programmes , and so Member States should also assume their responsibilities and do their jobs properly . ;226 398 76 151 37 2094 4 1325 20 53 1097 202 75 33 342 3425 111 3560 53 580 111 2740 5183 26;In really time stream very slowly the programmes and must also Member States responsibility and . ;451 3346 398 7859 372 2948 4 1325 53 347 342 202 75 2611 53 26;1.6065593248474313e-18;1;4
Was uns hier im Parlament betrifft , so möchte ich auf den im Mai verabschiedeten und für Parlament und Kommission geltenden Verhaltenskodex verweisen . ;637 285 531 73 63 474 14 208 108 210 9 33 73 3522 4858 20 32 63 20 219 3357 9172 2284 25;As for us in Parliament , I would like to remind you of the code of conduct between the Commission and Parliament which was signed in May . ;292 61 295 3 64 20 117 427 118 37 1882 448 12 4 7042 12 2237 201 4 227 53 64 15 834 2864 3 3277 26;What in Parliament would I on a May Parliament and the Commission refer . ;811 3 64 427 117 82 35 3277 64 53 4 227 437 26;1.4609149692742786e-17;1;3
Ich bin fest davon überzeugt , daß dieser Kodex eingehalten und das Parlament über alle Entwicklungen und Details in bezug auf die Umsetzung der Programme auf dem laufenden gehalten wird . ;107 675 1241 921 3161 14 30 82 15792 756 20 15 63 153 706 652 20 8600 4 237 9 16 52 5 1342 9 61 5865 4539 139 25;I am absolutely certain that this code will be observed and that Parliament will keep abreast of all the developments and details concerning the implementation of the programmes . ;117 681 1939 394 31 124 7042 125 8 730 53 31 64 125 1585 4893 12 223 4 196 53 1423 156 4 171 12 4 1325 26;I am firmly convinced that this figure and Parliament on all and details within in implementation under . ;117 681 2672 3543 31 124 4686 53 64 82 223 53 1423 561 3 171 1007 26;2.6045405718430867e-23;1;3
Wie die Berichterstatterin bedaure ich , daß das Parlament in bezug auf die Leitlinien quasi auf den fahrenden Zug aufgesprungen ist , da die Verhandlungen mit den Staaten bereits so weit fortgeschritten sind , daß man nicht davon ausgehen kann , daß dieser Bericht noch unmittelbare Auswirkungen haben wird . ;282 16 3326 11765 210 14 30 15 63 4 237 9 16 1683 7484 9 33 0 10174 0 7 14 104 16 83 131 33 78 260 208 859 16669 87 14 30 201 315 921 3367 371 14 30 82 1506 613 14305 2366 95 139 25;I share the regrets she expressed , namely that Parliament has become involved rather late in the day as regards these guidelines , since by now the procedure for negotiations with the states is so far advanced that I cannot see this report having any sort of immediate effect , which in my view is a pity . ;117 782 4 9589 2888 1131 20 1173 31 64 76 666 225 1176 2664 3 4 886 21 2429 84 1659 20 107 10 362 4 1300 61 85 46 4 1947 28 1097 1098 4391 31 117 684 1351 124 1132 1071 452 1313 12 3736 2454 20 15 3 844 277 28 35 4584 26;As rapporteur I regrettable that in orientations because the negotiations States to go far advanced that not can that this report . ;292 1287 117 3536 31 3 18924 481 4 85 75 37 423 1098 4391 31 77 6 31 124 1132 26;1.0014194371460288e-38;1;4
Die erste Herausforderung ist die Harmonisierung der nationalen Raumordnungs- und der regionalen Entwicklungspolitiken . ;37 449 3808 7 16 4567 5 300 0 20 5 3183 0 25;The first is the harmonisation of national development policies and regional development policies . ;226 457 28 4 4003 12 316 569 336 53 1276 569 336 26;The first challenge is the harmonisation national and regional . ;226 457 302 28 4 4003 316 53 1276 26;9.201837331604584e-10;1;3
Die zweite Herausforderung ist die Erweiterung , die natürlich sowohl in geographischer als auch haushaltstechnischer Sicht beachtliche Auswirkungen haben wird . ;37 1531 3808 7 16 1020 14 16 915 1051 4 11703 354 188 0 1445 10921 2366 95 139 25;The second challenge is that of enlargement which will , of course , have a considerable impact , both in budgetary and geographical terms . ;226 1292 302 28 31 12 882 15 125 20 12 931 20 113 35 1558 1275 20 593 3 1243 53 3494 1854 26;The second challenge is the enlargement of course impact . ;226 1292 302 28 4 882 12 931 1275 26;4.679009421490119e-13;1;4
Den Kommissar möchte ich auffordern , in diesen beiden Bereichen tätig zu werden und uns dabei mit einzubinden . ;3636 1177 108 210 5555 14 4 313 1116 595 3701 28 115 20 285 875 131 567 25;These are two areas of action which I invite the Commissioner to set up and in which I would ask him to involve us . ;1471 41 386 425 12 188 15 117 145 4 1168 37 115 890 53 3 15 117 427 708 2247 37 3790 295 26;Commissioner I would like call to two areas and in in . ;1168 117 427 118 1957 37 386 425 53 3 3 26;2.2714063757309813e-14;1;3
Angesichts der jüngsten Naturkatastrophen möchte ich doch noch auf die Verwendung der Strukturfondsmittel eingehen . ;654 5 8002 6258 108 210 348 613 9 16 1284 5 2538 410 25;Finally , in this time of natural disasters , I would just like to mention the issue of the use of Structural Funds . ;2428 20 3 124 398 12 2487 4110 20 117 427 340 118 37 1486 4 216 12 4 705 12 2351 2352 26;Given recent I use Structural Funds . ;4196 2019 117 705 2351 2352 26;2.567437020219053e-11;1;3
Wir wissen , daß es den jeweiligen Staaten obliegt , einen Teil der Mittel selbst zu verteilen . ;129 887 14 30 27 33 2834 78 4641 14 232 1293 5 1334 666 28 8769 25;As you know , it is up to each State to redistribute part of the total appropriation . ;292 448 335 20 86 28 890 37 950 1678 37 20391 142 12 4 1484 8276 26;We know that countries falls funds itself to . ;40 335 31 715 1282 1238 884 37 26;1.0877815839154077e-13;1;3
Dabei darf es nicht angehen , daß - wie es anscheinend die Absicht der Mitgliedsstaaten ist - Europa überhaupt nicht mehr in Erscheinung tritt . ;426 1254 27 315 2699 14 30 625 420 27 11629 16 1516 5 1682 7 625 365 701 315 68 4 9941 356 25;Europe should not be completely absent , as the states tend to want . ;135 33 77 8 2337 3383 20 21 4 1947 7344 37 738 26;not that seem to intention is such does not more in . ;77 31 2632 37 1494 28 972 456 77 65 3 26;4.363842146876651e-17;1;3
Ich glaube , wir können dies ruhig laut und deutlich sagen . ;107 209 14 42 311 302 13299 7519 20 2339 436 25;I think we should be capable of saying this loud and clear . ;117 377 318 33 8 1361 12 3537 124 7971 53 72 26;I believe , we can happily assume envisaged said . ;117 208 20 318 6 12876 3425 1913 532 26;5.564932716618331e-07;1;4
Ich denke auch , daß immer wenn Europa Hilfe leistet , um die Schäden von Naturkatastrophen oder Unfällen zu beheben , wir über unsere Hilfsleistungen informieren bzw . die Mitgliedstaaten bitten sollten , dies zu übernehmen . ;107 362 188 14 30 671 278 365 2018 4499 14 390 16 5820 46 6258 69 10597 28 724 14 42 153 151 18438 1523 2286 25 16 193 5535 1614 14 302 28 4628 25;I also think we should ensure , or ask Member States to ensure , that there is some publicity given to European aid whenever it is used to repair damage caused by natural disasters or accidents . ;117 342 377 318 33 770 20 66 708 202 75 37 770 20 31 672 28 149 6360 1101 37 193 1207 2168 86 28 1391 37 14167 3880 1557 10 2487 4110 66 544 26;I think also that although Europe assistance or we our or . the Member States ask to should . ;117 377 342 31 671 135 3175 66 318 154 66 26 4 202 75 708 37 33 26;1.0312811702217713e-21;1;3
Herr Präsident , finanz- und währungstechnischen Kriterien Priorität einzuräumen , bedeutet Ungleichheiten jeder Art zu verstärken . ;53 54 14 0 20 0 243 1901 8762 14 1955 1764 1861 2121 28 4809 25;Mr President , the priority given to financial and monetary criteria reinforces the increase in inequalities of every shape and form . ;47 58 20 4 1824 1101 37 131 53 2738 257 19001 4 650 3 1902 12 996 1872 53 524 26;Mr President , Duarte criteria priority means inequalities . ;47 58 20 28793 257 1824 11 1902 26;3.291922794499594e-13;1;3
Französische Planungsexperten halten es zum Beispiel derzeit für sehr wahrscheinlich , daß sich die regionalen Unterschiede innerhalb der einzelnen Länder weiter vertiefen werden . ;0 0 41 27 587 2199 3504 32 510 3958 14 30 180 16 3183 2581 631 5 2075 1527 1551 11125 115 25;As far as French planning experts are concerned , for example , the most probable scenario today is that of the entrenchment of regional disparities within each country . ;292 1098 21 1011 1832 3577 41 42 20 61 912 20 4 304 9267 540 815 28 31 12 4 38081 12 1276 7899 561 950 788 26;example probably be that differences within individual countries . ;912 697 8 31 2415 561 1810 715 26;6.037783930227213e-18;1;3
Doch die Strukturfonds haben dazu beigetragen , diese Entwicklung zu bremsen . ;1072 16 2388 95 1064 3088 14 127 190 28 16265 25;Well , the Structural Funds have helped to apply a brake to this process . ;934 20 4 2351 2352 113 4727 37 920 35 8720 37 124 214 26;But the Structural Funds contributed down this development . ;1846 4 2351 2352 2030 401 124 569 26;6.03299105098199e-08;1;3
Unser Ziel ist ein Europa , das von einer Befriedigung der sozialen Bedürfnisse ausgeht , und dies setzt hinsichtlich der Lebensbedingungen eine Annäherung nach oben voraus . ;816 1502 7 67 365 14 15 46 456 9760 5 2690 8230 7986 14 20 302 5007 331 5 4487 211 2696 147 3091 5010 25;Our project of a Europe that aims to satisfy social needs envisages the convergence of living conditions towards the highest common denominator . ;833 2643 12 35 135 31 1398 37 6988 2253 298 3924 4 1894 12 498 258 144 4 5191 274 2944 26;Our objective is a Europe , social needs and this , living conditions . ;833 392 28 35 135 20 2253 298 53 124 20 498 258 26;3.364204447179335e-18;1;3
Die Umsetzung dieses Ziels bedeutet sicherlich eine Ausweitung von Umverteilungsinstrumenten wie die Strukturfonds . ;37 52 207 381 1955 2434 211 6410 46 0 420 16 2388 25;Its implementation would certainly require extending the scope of redistribution instruments such as the Structural Funds . ;4426 171 427 2292 408 5529 4 2136 12 6175 1581 972 21 4 2351 2352 26;The implementation this objective certainly a of as the Structural Funds . ;226 171 124 392 2292 35 12 21 4 2351 2352 26;3.5526288244317894e-10;1;4
Der heute vorliegende Bericht gibt der Politik ihre eigentliche Bedeutung zurück . ;376 64 9151 1506 1385 5 322 807 9272 1337 918 25;The report put forward today re-establishes its place in the political sphere . ;226 1132 348 1885 815 0 170 856 3 4 668 614 26;the . ;4 26;2.107760194235144e-06;1;5
Er ist ein Schritt in Richtung einer nachhaltigen Beschäftigungs- und Entwicklungspolitik . ;693 7 67 2858 4 2900 456 3693 8159 20 547 25;It is one of the steps towards a policy of employment and sustainable development . ;27 28 413 12 4 1911 144 35 552 12 1150 53 1752 569 26;It is a step in towards sustainable employment and development policies . ;27 28 35 1039 3 144 1752 1150 53 569 336 26;4.7344436954579156e-07;1;2
Und deshalb werden wir ihm zustimmen . ;972 1520 115 42 1110 1158 25;This is what persuades us to vote in favour of it . ;162 28 467 0 295 37 1181 3 1015 12 86 26;And we . ;1393 318 26;3.600306064780551e-05;1;3
Herr Präsident ! Auch ich möchte die Berichterstatterin zu ihrer ausgezeichneten Arbeit beglückwünschen . ;53 54 58 892 210 108 16 3326 28 93 6210 223 1352 25;Mr President , I too would like to congratulate the rapporteur on her excellent work . ;47 58 20 117 404 427 118 37 1335 4 1287 82 356 2308 231 26;Mr President , I rapporteur excellent work . ;47 58 20 117 1287 2308 231 26;1.7755960330241407e-09;1;3
Angesichts der Herausforderung der Globalisierung und der Osterweiterung bedarf Europa meines Erachtens in den nächsten Jahren für die Programmplanung und die Wiederankurbelung seiner Wirtschaft mehr denn je angemessener und exakter Vorgaben . ;654 5 3808 5 1956 20 5 5489 5366 365 645 517 4 33 566 741 32 16 5678 20 16 0 696 1168 68 568 355 8513 20 0 7291 25;Over the coming years , faced with the challenges of globalisation and eastward enlargement , Europe will , more than ever before , require appropriate detailed guidance on how to plan and revitalise its economy . ;8133 4 3231 397 20 5786 46 4 2591 12 1898 53 17697 882 20 135 125 20 65 422 790 101 20 408 1828 3582 4065 82 431 37 189 53 15008 170 1809 26;Given challenge globalisation and eastward enlargement Europe I in years for programming and of its economy nothing than more and rules . ;4196 302 1898 53 17697 882 135 117 3 397 61 5220 53 12 170 1809 1649 422 65 53 1905 26;5.598831172947676e-25;1;4
Erforderlich dazu ist , daß die Europäische Kommission über die guten Vorsätze hinaus ihren Leitlinien mehr Transparenz verleiht und sich ganz gezielt um die Kontrolle der Verwendung dieser Mittel durch die Mitgliedstaaten bemüht . ;9555 1064 7 14 30 16 1801 219 153 16 1005 13021 1913 762 1683 68 462 4575 20 180 109 9813 390 16 204 5 1284 82 1334 189 16 193 1994 25;For this to be possible , what we need from the European Commission are not just good intentions , but clearer guidelines and a firm commitment to monitoring the way these resources are used by the Member States . ;1671 124 37 8 209 20 467 318 789 186 4 193 227 41 77 340 30 2831 20 322 2184 1659 53 35 4085 3007 37 1271 4 486 84 300 41 1391 10 4 202 75 26;What is is that the European Commission on good guidelines transparency and use control Member States . ;811 28 28 31 4 193 227 82 30 1659 472 53 705 218 202 75 26;3.448445451322553e-24;1;4
Herr Präsident , mir ist es ebenso wie meinem Kollegen Herrn Evans eine besondere Freude , erstmals in diesem Haus zu diesem sehr wichtigen Problem das Wort zu ergreifen , zumal ich mit den West Midlands einen Teil des Vereinigten Königreichs vertrete , der bisher in den Genuß von Ziel-2-Fördermitteln gekommen ist . ;53 54 14 940 7 27 44 420 849 57 143 5568 211 1900 5338 14 11320 4 137 2278 28 137 510 195 116 15 1500 28 3349 14 2578 210 131 33 6512 10720 232 1293 50 77 3561 7294 14 5 1101 4 33 4548 46 0 5632 7 25;Mr President , like my colleague Mr Evans , it is a particular pleasure to rise and make my first speech to this House on this very important issue , especially since I represent a part of the United Kingdom , the West Midlands , which has hitherto benefited from Objective 2 funding in particular . ;47 58 20 118 844 1436 47 5136 20 86 28 35 438 5344 37 1613 53 119 844 457 2827 37 124 1479 82 124 372 183 216 20 944 107 117 68 35 142 12 4 74 2524 20 4 5975 9897 20 15 76 2566 6125 186 1283 1674 1702 3 438 26;Mr President , it also Mr Evans a particular pleasure this this important I West Midlands a part of of the Kingdom represent . ;47 58 20 86 342 47 5136 35 438 5344 124 124 183 117 5975 9897 35 142 12 12 4 2524 68 26;1.3079536459031054e-37;1;5
Doch der dem Haus heute vorliegende Bericht ist ein klassisches Beispiel dafür , daß wir , wenn wir nicht aufpassen , Ideen entwickeln , die zwar phantastisch klingen , für die Bürger , die direkt von ihnen profitieren sollen , jedoch u . U . von wenig Belang sind . ;1072 5 61 2278 64 9151 1506 7 67 16300 2199 938 14 30 42 14 278 42 315 1963 14 7560 2273 14 16 843 0 17503 14 32 16 312 14 16 1259 46 150 4073 270 14 822 3355 25 0 25 46 824 9137 87 25;But the report before the House tonight is a prime example of how , if we are not very careful , we can produce very grandiose-sounding ideas that lack the substance to make them relevant to the people who benefit directly from them . ;1846 4 1132 101 4 1479 4526 28 35 1576 912 12 431 20 121 318 41 77 372 5604 20 318 6 5374 372 0 3292 31 2520 4 3427 37 119 161 205 37 4 420 287 3125 1250 186 161 26;But the here report is a classic example that we if we not be careful develop ideas sounds the the of them benefit but . . too the on-site are interest . ;1846 4 712 1132 28 35 5765 912 31 318 121 318 77 8 5604 3344 3292 8707 4 4 12 161 3125 322 26 26 404 4 10020 41 970 26;8.804570232130148e-33;1;5
Der Bericht selbst verfolgt eine gute Absicht , es fehlt ihm jedoch wie vielen unserer Aktivitäten auf diesem Gebiet an einer klaren Zielsetzung und einer soliden Grundlage für seine Umsetzung in die Praxis . ;376 1506 666 3004 211 2066 1516 14 27 2118 1110 822 420 2094 422 2573 9 137 2067 113 456 3806 3212 20 456 14389 10 32 164 52 4 16 2009 25;The report itself is well-intentioned but , as so often when we deal with these issues , lacks clarity of purpose and a sound basis for operability . ;226 1132 884 28 12397 322 20 21 1097 1711 363 318 321 46 84 940 20 1580 3023 12 3254 53 35 1364 264 61 0 26;The report themselves a good for many clear and solid basis for his implementation in . ;226 1132 2941 35 30 61 812 72 53 4139 264 61 706 171 3 26;8.643256116438602e-24;1;3
Deshalb schlagen meine Fraktion und ich drei wichtige Änderungen und Zusätze vor , mit denen wir den Vorschlag in keiner Weise verwässern , sondern mit denen wir seine Relevanz für diejenigen , denen er als Anleitung dienen soll , erhöhen wollen . ;1010 6403 836 1011 20 210 1112 1181 1328 20 0 96 14 131 246 42 33 233 4 798 799 18193 14 326 131 246 42 164 15878 32 1351 14 246 700 354 4680 328 329 14 1202 90 25;That is why I and my Group are proposing three key amendments and additions to the text , not to take anything away from the proposal , but to make it more relevant to those whom it is there to guide . ;1014 28 710 117 53 844 234 41 2089 1107 387 1302 53 15652 37 4 1491 20 77 37 689 581 990 186 4 240 20 322 37 119 86 65 205 37 1241 1337 86 28 672 37 5107 26;therefore group my and I three important amendments and , we within proposal in way dilute but we for those who as someone . ;29 596 844 53 117 1107 183 1302 53 20 318 561 240 3 486 29312 322 318 61 1241 287 21 1942 26;5.711173687372032e-32;1;2
Lassen Sie mich das begründen . ;2424 394 1290 15 1669 25;I would like to explain our thinking here . ;117 427 118 37 487 154 796 712 26;Let justify . ;334 4566 26;0.00014664573802126727;1;3
Es geht uns erstens um eine ordnungsgemäße Verwendung der Mittel aus den Struktur- und dem Kohäsionsfonds . ;416 417 285 2781 390 211 2487 1284 5 1334 181 33 17679 20 61 4874 25;Firstly , we are concerned with the proper use of the Structural and Cohesion Funds . ;3579 20 318 41 42 46 4 1118 705 12 4 2351 53 4534 2352 26;It is use funds Structural and Cohesion . ;27 28 705 1238 2351 53 4534 26;3.155670262559016e-13;1;3
Die Erfahrungen der Vergangenheit zeigen , daß wir als die gewählten Vertreter der europäischen Steuerzahler finanzielle Redlichkeit und Transparenz bei der Auszahlung dieser Gelder und der damit verbundenen Rechnungsprüfung fordern sollten , ja müssen . Mit unseren Änderungen und Zusätzen wollen wir das erreichen , was bei der Gewährung von Zuschüssen als Indikator für die wirtschaftlich günstigste Lösung dienen kann . ;37 1724 5 1775 3888 14 30 42 354 16 1139 855 5 779 8533 123 0 20 462 228 5 7248 82 1216 20 5 1232 6587 0 2692 1614 14 529 317 25 2688 318 1328 20 0 90 42 15 84 14 184 228 5 1210 46 0 354 9581 32 16 2718 12486 213 328 371 25;Past experience dictates that , as the elected representatives of the European taxpayer , we should , and indeed must , demand financial probity and transparency in the disbursement and auditing of this money , hence our amendments and additions relate to achieving what are known as value for money indicators in the grant-giving process . ;37060 2517 8756 31 20 21 4 864 802 12 4 193 7824 20 318 33 20 53 1123 347 20 2915 131 27300 53 472 3 4 17090 53 13799 12 124 206 20 2769 154 1302 53 15652 2286 37 6708 467 41 1937 21 3480 61 206 3438 3 4 0 214 26;The experience past show that we their elected European and improve in and the should we need to . our and want we that what of as for economically most favourable solution act can . ;226 2517 1743 960 31 318 111 864 193 53 533 3 53 4 33 318 789 37 26 154 53 738 318 31 467 12 21 61 2972 304 6770 212 34 6 26;3.329186433602348e-44;1;5
Zweitens fließen nur allzu oft riesige Summen in Projekte , deren Ergebnisse sich zu Beginn des Programmzeitraums einfach noch nicht klar abschätzen lassen . ;2074 4207 8 1654 1738 3401 9930 4 1771 14 2062 1536 180 28 2802 50 0 1717 613 315 110 0 680 25;Next , we all too often see vast sums of money being spent on projects whose outcomes will necessarily be unclear at the start of the programme period . ;10984 20 318 223 404 1711 1351 3246 3160 12 206 313 2396 82 1740 2912 2674 125 4379 8 4529 242 4 1004 12 4 163 165 26;Billions of euros only too often in projects whose at of the simply not . ;29249 12 6593 7 404 1711 3 1740 2912 242 12 4 1836 77 26;7.396738804258014e-18;1;5
Und bleibt der erhoffte Erfolg aus , gibt es keine effektive Möglichkeit , das Projekt zur Halbzeit oder am Ende dieses Zeitraums tatsächlich zu beenden . ;972 310 5 0 999 181 14 1385 27 80 6736 2327 14 15 2852 222 12044 69 721 338 207 10498 2101 28 8201 25;But at the mid-way point or end of that period there is no effective way of terminating the project if it has not proved successful . ;1846 242 4 0 1089 66 349 12 31 165 672 28 740 1783 486 12 14852 4 2643 121 86 76 77 5853 1122 26;And no effective way project or this really end . ;1393 740 1783 486 2643 66 124 3346 349 26;3.197401389533226e-20;1;3
Und schließlich fordern wir Veränderungen in bezug auf Schwerpunkt und Methodik der Mittelauszahlung . ;972 230 2692 42 1013 4 237 9 3240 20 3302 5 0 25;Finally , we call for a change to the balance and method by which the funds are disbursed . ;2428 20 318 1957 61 35 140 37 4 1096 53 784 10 15 4 1238 41 1838 26;Finally , demand emphasis we . ;2428 20 2915 1685 318 26;1.0841674532940437e-14;1;5
So sollte der private Sektor , durch den das Element der finanziellen Realität in die Finanzierungsüberlegungen eingebracht wird , stärker integriert werden . ;1954 694 5 3695 683 14 189 33 15 1263 5 3627 2971 4 16 0 9201 139 14 1543 830 115 25;There should be greater involvement of the private sector which will introduce financial reality as a perspective within the funding equation . ;1363 33 8 1034 1791 12 4 691 692 15 125 2327 131 1162 21 35 2328 561 4 1702 17923 26;should the sector financial reality in the integrated . ;33 4 692 131 1162 3 4 846 26;5.921715196575683e-17;1;3
Auch sollte man hinsichtlich der Art der zu fördernden Projekte den Schwerpunkt von Kleinvorhaben auf Ertragsbasis , die sich nur schwer überwachen lassen , auf Investitionsvorhaben verlagern , bei denen der Nutzen in der Mehrzahl der Fälle offen auf der Hand liegt . ;892 694 201 331 5 2121 5 28 0 1771 33 3240 46 0 9 0 14 16 180 8 2545 1497 680 14 9 0 3241 14 228 246 5 3193 4 5 1448 5 3344 674 9 5 2336 644 25;Also the type of project funded needs to be shifted away from small-scale revenue-based projects , which are hard to monitor , towards capital schemes where , in the majority of cases , the benefits are there for all to see . ;2144 4 350 12 2643 3491 298 37 8 9466 990 186 7641 0 1740 20 15 41 1842 37 3600 20 144 652 3769 1042 20 3 4 985 12 1148 20 4 1880 41 672 61 223 37 1351 26;should emphasis projects to of , difficult relocating within in majority in . ;33 1685 1740 37 12 20 89 21396 561 3 985 3 26;1.6922134591402244e-33;1;5
Damit wird man den Rufen nach mehr Transparenz bei der Verwendung der Gelder gerecht , und der Versuchung , das lokale Steueraufkommen in Gebieten , in denen entsprechende Projekte durchgeführt werden , unnötig über längere Zeit zu belasten , wird erfolgreich entgegengewirkt . Zudem macht das Parlament damit deutlich , wie ernst es den Ruf nach derartigen Reformen nimmt . ;1528 139 201 33 0 147 68 462 228 5 1284 5 1216 4163 14 20 5 11487 14 15 1856 0 4 493 14 4 246 1397 1771 4568 115 14 11015 153 15504 291 28 5329 14 139 1524 6124 25 2698 760 15 63 1232 2339 14 420 4093 27 33 10969 147 2226 3236 1073 25;That way the much-trumpeted need for transparency in the use of these funds and the temptation to draw unnecessarily in the longer term on the local tax base in areas where such projects are located will be diminished and the European Parliament will show how seriously it takes the need for such reform . ;1014 486 4 0 789 61 472 3 4 705 12 84 1238 53 4 10784 37 409 10965 3 4 1343 1177 82 4 1724 601 749 3 425 1042 972 1740 41 6908 125 8 16161 53 4 193 64 125 960 431 2041 86 1012 4 789 61 972 965 26;more transparency money and the in unnecessary . the Parliament reputation after reforms . ;65 472 206 53 4 3 5217 26 4 64 8078 2532 1915 26;1.1702682861539717e-43;1;4
Diese Änderungen , sollten sie heute von diesem Hohen Haus angenommen werden , sind meiner Ansicht nach ein weiterer entscheidender Schritt zur Erreichung der historisch bedeutsamen Ziele , für die die Fonds ursprünglich eingerichtet worden waren , nämlich die finanziell nachhaltige Unterstützung der benachteiligten Gebiete in der Europäischen Union , in der der Lebensstandard nicht durch Almosen , sondern konkrete Hilfe auf ein menschenwürdiges Niveau angehoben werden muß . ;1365 1328 14 1614 241 64 46 137 3766 2278 1480 115 14 87 1712 480 147 67 3892 2741 2858 222 3643 5 6509 2754 1136 14 32 16 16 1743 6624 404 432 819 14 681 16 5541 1783 125 5 2091 1719 4 5 62 266 14 4 5 5 10071 315 189 11648 14 326 2551 2018 9 67 0 4235 14509 115 334 25;If these changes to the report are supported by the House today , I believe that they will move us forward in the next phase of achieving the historic objectives which the funds were set up to bring about , namely to assist - in a financially sustainable manner - those deprived areas of the European Union which need to be brought up to a decent standard of living , not by giving a hand-out but by giving a hand-up . ;324 84 658 37 4 1132 41 1574 10 4 1479 815 20 117 208 31 108 125 1352 295 1885 3 4 1260 7582 12 6708 4 5974 1473 15 4 1238 114 115 890 37 1009 339 20 1173 37 2808 638 3 35 6402 1752 3188 638 1241 3395 425 12 4 193 276 15 789 37 8 3109 890 37 35 1560 3156 12 498 20 77 10 1105 35 0 322 10 1105 35 30681 26;This changes this adopted House I believe another achieving important funds originally the support areas in European Union of charity but aid to a to level . ;162 658 124 1376 1479 117 208 1941 6708 183 1238 7567 4 133 425 3 193 276 12 16560 322 1207 37 35 37 648 26;1.0222934047663983e-48;1;4
Ich fordere das Haus auf , diesen Änderungen zuzustimmen . ;107 954 15 2278 9 14 313 1328 7321 25;I urge the House to support these changes . ;117 4164 4 1479 37 133 84 658 26;I call the favour changes . ;117 1957 4 1015 658 26;2.2778240797517854e-07;1;3
Herr Präsident , Herr Kommissar , liebe Kolleginnen und Kollegen ! Auch ich möchte die Berichterstatterin zu ihrem mit so viel Fleiß und Sorgfalt erarbeiteten Bericht beglückwünschen . ;53 54 14 53 1177 14 1178 56 20 57 58 892 210 108 16 3326 28 763 131 208 303 0 20 10839 5233 1506 1352 25;Mr President , Commissioner , I too would like to commend the rapporteur on her report , which is a meticulous and substantive piece of work . ;47 58 20 1168 20 117 404 427 118 37 5553 4 1287 82 356 1132 20 15 28 35 14237 53 1257 6380 12 231 26;Mr President , Mr Commissioner , ladies and I rapporteur and the . ;47 58 20 47 1168 20 1169 53 117 1287 53 4 26;1.5441306717866758e-18;1;3
Zweifellos stellen die Strukturpolitiken und die Kohäsionspolitik der Europäischen Union die wesentlichen Instrumente dar , um die Voraussetzungen für das Wachstum und den Abbau der wirtschaftlichen und sozialen Ungleichgewichte in den Regionen zu schaffen . ;12248 2117 16 17702 20 16 13642 5 62 266 16 2899 5392 2422 14 390 16 244 32 15 2948 20 33 2912 5 1221 20 2690 12914 4 33 1692 28 2299 25;The European Union s structural and cohesion policies are , without doubt , essential tools for creating the right conditions with a view to tackling and reducing the levels of economic and social disparity between the regions . ;226 193 276 24 2251 53 1786 336 41 20 1056 956 20 1259 5016 61 249 4 871 258 46 35 277 37 574 53 2497 4 2077 12 623 53 2253 9803 201 4 1723 26;There is no doubt the structural and European Union essential instruments to the conditions for the growth and the economic and social in regions in . ;1363 28 740 956 4 2251 53 193 276 1259 1581 37 4 258 61 4 2737 53 4 623 53 2253 3 1723 3 26;4.49265021737102e-25;1;3
Trotz der bisherigen Maßnahmen sind diese Ungleichgewichte nämlich noch recht ausgeprägt , in bezug auf die Arbeitslosigkeit sogar inakzeptabel . ;3383 5 5948 179 87 127 12914 681 613 4849 18813 14 4 237 9 16 1983 2675 6759 25;Despite the steps taken thus far , these levels are still very high , and are unacceptably high as regards unemployment . ;3139 4 1911 855 2151 1098 20 84 2077 41 639 372 1161 20 53 41 1566 1161 21 2429 1896 26;Despite measures are , namely imbalances right the even unemployment . ;3139 644 41 20 1173 12378 871 4 976 1896 26;2.6144579207910734e-12;1;3
Damit die Ziele dieser Politiken möglichst umfassend verwirklicht werden können , müssen sie koordiniert und auf der Grundlage wohldurchdachter , sinnvoller Leitlinien umgesetzt werden . ;1528 16 1136 82 2404 1415 289 4345 115 311 14 317 241 6548 20 9 5 10 0 14 4538 1683 2225 115 25;These policy objectives can only be achieved through their careful coordination and organisation on the basis of well thought-out and sensible guidelines . ;1471 552 1473 6 7 8 9 751 111 5604 1696 53 4094 82 4 264 12 22 24831 53 1806 1659 26;the objectives policies comprehensive be achieved and , guidelines implemented . ;4 1473 336 478 8 9 53 20 1659 2109 26;5.44404110636063e-18;1;3
